ID,AcceptedCmp1,AcceptedCmp2,Education,Marital_Status,Year_Birth,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth
5524,0,0,Graduation,Single,1957,58138,58,635,88,546,172,88,3,8,10,4,7
2174,0,0,Graduation,Single,1954,46344,38,11,1,6,2,1,2,1,1,2,5
4141,0,0,Graduation,Together,1965,71613,26,426,49,127,111,21,1,8,2,10,4
6182,0,0,Graduation,Together,1984,26646,26,11,4,20,10,3,2,2,0,4,6
5324,0,0,PhD,Married,1981,58293,94,173,43,118,46,27,5,5,3,6,5
7446,0,0,Master,Together,1967,62513,16,520,42,98,0,42,2,6,4,10,6
965,0,0,Graduation,Divorced,1971,55635,34,235,65,164,50,49,4,7,3,7,6
6177,0,0,PhD,Married,1985,33454,32,76,10,56,3,1,2,4,0,4,8
4855,0,0,PhD,Together,1974,30351,19,14,0,24,3,3,1,3,0,2,9
5899,0,0,PhD,Together,1950,5648,68,28,0,6,1,1,1,1,0,0,20
387,0,0,Basic,Married,1976,7500,59,6,16,11,11,1,1,2,0,3,8
2125,0,0,Graduation,Divorced,1959,63033,82,194,61,480,225,112,1,3,4,8,2
8180,0,0,Master,Divorced,1952,59354,53,233,2,53,3,5,3,6,1,5,6
2569,0,0,Graduation,Married,1987,17323,38,3,14,17,6,1,1,1,0,3,8
2114,1,0,PhD,Single,1946,82800,23,1006,22,115,59,68,1,7,6,12,3
9736,0,0,Graduation,Married,1980,41850,51,53,5,19,2,13,3,3,0,3,8
4939,0,0,Graduation,Together,1946,37760,20,84,5,38,150,12,2,4,1,6,7
6565,1,0,Master,Married,1949,76995,91,1012,80,498,0,16,2,11,4,9,5
2278,0,0,2n Cycle,Single,1985,33812,86,4,17,19,30,24,2,2,1,3,6
9360,0,0,Graduation,Married,1982,37040,41,86,2,73,69,38,1,4,2,5,8
5376,0,0,Graduation,Married,1979,2447,42,1,1,1725,1,1,15,0,28,0,1
1993,0,0,PhD,Married,1949,58607,63,867,0,86,0,0,3,2,3,9,8
4047,0,0,PhD,Married,1954,65324,0,384,0,102,21,32,3,6,2,9,4
1409,0,0,Graduation,Together,1951,40689,69,270,3,27,39,6,7,7,1,5,8
7892,0,0,Graduation,Single,1969,18589,89,6,4,25,15,12,2,2,1,3,7
2404,0,0,Graduation,Married,1976,53359,4,173,4,30,3,6,4,5,1,4,7
9422,0,0,Graduation,Married,1989,38360,26,36,2,42,20,21,2,2,1,4,3
1966,0,0,PhD,Married,1965,84618,96,684,100,801,21,66,1,6,9,10,2
6864,0,0,Master,Divorced,1989,10979,34,8,4,10,2,2,2,3,0,3,5
3033,0,0,Master,Together,1963,38620,56,112,17,44,34,22,1,2,5,3,3
5710,0,0,Graduation,Together,1970,40548,31,110,0,5,2,0,2,2,1,4,5
7373,0,0,PhD,Divorced,1952,46610,8,96,12,96,33,22,6,4,1,6,6
8755,0,0,Master,Married,1946,68657,4,482,34,471,119,68,1,3,5,9,7
10738,0,0,Master,Single,1951,49389,55,40,0,19,2,1,1,2,0,3,7
4339,0,0,PhD,Married,1970,67353,37,702,17,151,0,8,5,5,6,12,2
10755,0,0,2n Cycle,Married,1976,23718,76,6,3,14,15,7,3,3,1,2,7
8595,0,0,Graduation,Widow,1973,42429,99,55,0,6,2,0,2,1,1,3,5
