persona,perfil,edad,genero,ingreso,juego,i_juego,intentos,duracion,egreso,resultado,exito
331,CONSERVADOR,63.687264568398085,1,13560.742553501728,tragamonedas,0,188,94.47493214967037,17060.372290741852,3499.629737240124,1
18,CONSERVADOR,55.040538978788774,0,15814.216840458874,dados,4,17,88.47835621822543,268.0181649394972,-15546.198675519376,0
180,CASUAL,45.93460829462151,1,22753.0824988545,tragamonedas,0,158,79.22622301724793,31570.91214791846,8817.829649063962,1
78,CASUAL,36.62483277174947,1,7068.089048337244,tragamonedas,0,193,96.93886768714688,5138.089048337244,-1930.0,0
263,CASUAL,39.16463283292343,1,10953.16875580719,blackjack,2,1,86.09135877567837,13518.091709300676,2564.9229534934857,1
36,CASUAL,45.02845915896811,1,22545.93350970271,dados,4,17,87.53342385716434,493.1433285372773,-22052.790181165434,0
173,CASUAL,45.729072432760525,1,11322.854189670135,tragamonedas,0,122,61.03351419121427,10102.854189670135,-1220.0,0
260,CONSERVADOR,44.93870038954421,1,3546.2005353710333,roulette,3,5,82.06486956326609,1046.2005353710333,-2500.0,0
441,CASUAL,39.49106794882858,0,22020.46849103988,tragamonedas,0,177,88.52920255839267,20250.46849103988,-1770.0,0
333,CASUAL,44.37601451417694,0,7135.079031095437,roulette,3,4,73.85838910514633,5135.079031095437,-2000.0,0
268,CASUAL,57.18985862132426,1,31240.626925120865,blackjack,2,1,69.19510935742876,14544.02497187871,-16696.601953242156,0
418,CASUAL,39.70011135785486,1,11060.868365404429,roulette,3,7,112.70958486370793,6392.672131633683,-4668.1962337707455,0
187,CASUAL,35.21942293915716,0,10640.81675878039,tragamonedas,0,228,114.26431667249824,28849.561903758848,18208.745144978457,1
367,CASUAL,35.32255604300522,1,13251.463237848737,tragamonedas,0,145,72.9884173847295,11801.463237848737,-1450.0,0
476,CASUAL,38.40439911727704,1,5327.326430573984,roulette,3,6,95.76856915409026,269.87946783815823,-5057.446962735826,0
241,CASUAL,47.79662670157961,1,25138.908385041537,tragamonedas,0,214,107.0633060057351,37840.08592061716,12701.177535575622,1
409,CONSERVADOR,53.50102883524437,1,8388.14060600274,tragamonedas,0,98,49.44529011624094,7408.14060600274,-980.0,0
28,CASUAL,43.59931279811334,1,24064.531671255012,dados,4,20,103.11765768543411,188.58160763705087,-23875.950063617962,0
278,ARRIESGADO,36.335047962403905,1,34509.21342460054,dados,4,30,152.47992670677988,278.6038404992016,-34230.60958410134,0
329,CONSERVADOR,49.49135613359717,1,8337.278992138301,tragamonedas,0,239,119.71169089890333,10459.428674890894,2122.1496827525934,1
77,ARRIESGADO,43.73970414686985,1,56865.36401506228,blackjack,2,4,183.72147160222605,42394.64671033772,-14470.71730472456,0
144,CONSERVADOR,50.56548704910044,1,5002.950924093284,tragamonedas,0,146,73.12657757229498,3542.950924093284,-1460.0,0
318,ARRIESGADO,44.86396114324649,1,51642.970880896886,roulette,3,13,208.50874587006868,424.14509594753144,-51218.82578494935,0
409,CONSERVADOR,53.50102883524437,1,8388.14060600274,blackjack,2,1,50.44027469332255,7388.14060600274,-1000.0,0
317,ARRIESGADO,38.30352852356475,0,55066.567405866976,pocker,1,3,199.6563726807739,22342.630098275156,-32723.93730759182,0
251,CONSERVADOR,53.350587468112366,0,11373.9002378346,roulette,3,5,79.79035470849922,8873.9002378346,-2500.0,0
204,CASUAL,44.93692749086128,0,6681.212062584105,roulette,3,6,98.13684610032703,332.43115196186363,-6348.780910622241,0
306,CASUAL,37.95657852871241,0,10850.587271505265,dados,4,22,113.4882700837671,281.1183902810634,-10569.468881224202,0
146,CASUAL,49.562708952022305,1,15029.053650488517,tragamonedas,0,128,64.10503849856279,13749.053650488517,-1280.0,0
243,ARRIESGADO,35.25692150379081,0,38385.82938903498,pocker,1,3,189.2931801150844,24523.390983240166,-13862.438405794815,0
228,ARRIESGADO,32.62646787312146,1,29377.36176235998,pocker,1,3,206.7777319226086,26377.36176235998,-3000.0,0
